Event,Publish?,Event Start,Event End,Location,Event Description,Traffic restrictions,GIS location,Advanced notification letter available Y>N,Event times ,Contact/hotline number,Event Venue,Link to letter ,Event website,,,,,,
Music in the Square ,,4/04/2019,4/04/2019,Hindmarsh Square / Mukata,"Bands perform in Victoria Square over lunch/early evening sessions. Food trucks, and cafe tables included.",No,"https://www.google.com.au/maps/place/Hindmarsh+Square,+Adelaide+SA+5000/@-34.9243891,138.6052262,21z/data=!4m5!3m4!1s0x6ab0ced17d54f9f5:0xb235c261756be88b!8m2!3d-34.9241687!4d138.6049835",,12p.m to 2p.m,8203 7203,,Not applicable ,https://www.cityofadelaide.com.au/whats-on/event/music-in-the-square11,,,,,,
Circus Rio 2019,,5/04/2019,12/05/2019,Bonython Par k/ Tulya Wardli,"Circus Rio is in Adelaide for the first time, providing a fun and inspiring experience for all the family featuring tricks and circus classics. ",No,"https://www.google.com.au/maps/@-34.9146121,138.5792244,21z",N,Various  - Refer to event Web site,http://circusrio.com/#contact,,Not applicable ,http://circusrio.com/#contact,,,,,,
Tasting Australia 2019,,5/04/2019,14/04/2019,Victoria Square / Tarntanyangga,"Tasting Australia is Australia's premium eating and drinking festival, providing unique and moreish food and beverage experiences. ",No,"https://www.google.com.au/maps/@-34.9286443,138.5998283,21z",,"Friday 5 April & Saturday 6 April-  11a.m to 12a.m
Sunday 7 April- 11a.m to 11p.m
Monday 8 April- Closed to public - private event (6p.m to 11p.m)
Tuesday 9 April- 11a.m to 9p.m
Wednesday 10 April & Thursday 11 April- 11a.m to 11p.m
Friday 12 April & Saturday 13 April-  11a.m to 12a.m
Sunday 14 April-  11a.m to 7p.m",8463 4500,,Not applicable ,https://tastingaustralia.com.au/town-square ,,,,,,
Adelaide Sanitarium Weet-bix Kids TRYathlon 2019,Yes,7/04/2019,7/04/2019,Denise Norton Park / Pardipardinyilla (Park 2); Barton Tce West; Prospect Rd; Fitzroy Tce & the Adelaide Aquatic Centre,The City of Churches hosts Weet-Bix Kids TRYathlon at the Aquatic Centre in North Adelaide. TRYathletes swim in the Olympic-sized pool and cycle on the surrounding closed-roads before running through the parklands around the Adelaide Aquatic Centre. , Yes,"https://www.google.com/maps/@-34.9010722,138.5905452,17.42z",Yes for road closure - still to be provided,7a.m to 1p.m,Not applicable ,,https://www.cityofadelaide.com.au/assets/documents/DOCUMENT_Community_Notification_Letter_2019.pdf ,https://tryathlon.com.au/locations/adelaide/,,,,,,
Nepal Festival 2019,,14/04/2019,14/04/2019,Light Square / Wauwi,The Nepal Festival is one of the biggest events for all Nepalese living in South Australia. The event will showcase the Nepalese culture. ,No,"https://www.google.com.au/maps/@-34.9252409,138.5935255,21z",Yes,12.00p.m until 9.00p.m,0402 076 358,,Not applicable ,Not applicable ,,,,,,
"ANZAC Day Activities, Service, Vigil and March",,24/04/2019,25/04/2019,"War Memorial - North Terrace
Pennington Gardens East
City Streets","A National day of remembrance that commemorates all Australians and New Zealanders who served and died in all wars, conflicts, and peacekeeping.",Yes ,"https://www.google.com/maps/@-34.9210029,138.6014089,21z",No ,"Youth Vigil- 5:45p.m to 6a.m
Dawn Service- 6a.m to 7:15a.m
Commemorative March- 9:30a.m to 11a.m
Commemorative Service at the Cross of Sacrifice- 11:40a.m to 12noon","Ian Smith 
Email: ian@provostrws.com
Mobile: 0413909080
",,Not applicable ,http://rslsa.org.au/anzac-day-2/,,,,,,
Union Hotel ANZAC Day Street Party,,25/04/2019,25/04/2019,Waymouth Street; between Bentham and Young Streets,Post ANZAC march street party.,Yes ,"https://www.google.com.au/maps/@-34.9257932,138.5968319,21z",Yes,10a.m to 10p.m,0419 831 956,,https://www.cityofadelaide.com.au/assets/documents/DOCUMENT_Union_Hotel_Event_Road_Closures.pdf,To be advised ,,,,,,
Adelaide Busking Festival 2019,,26/04/2019,28/04/2019,Light Square / Wauwi,"A free community event  centred around busking and will include live music, food and beverages.",No,"https://www.google.com/maps/@-34.9252418,138.5939511,21z",Yes,"Friday 19 April- 4p.m to 9p.m
Saturday 20 April- Midday to 9p.m
Sunday 21 April- Midday to 9p.m",0458 150 306 ,,Not applicable ,http://www.buskingfestival.com.au/adelaide-busking-festival.html,,,,,,
Indofest ,,28/04/2019,28/04/2019,Victoria Square / Tarntanyangga (South),"indofest-Adelaide is a vibrant community festival celebrating all things Indonesian, bringing culture and cuisine to Adelaide. ",No,"https://www.google.com/maps/@-34.9298928,138.6000136,21z",,10a.m to 5p.m,To be advised ,,Not applicable ,https://indofest.com.au/,,,,,,
North Adelaide Rare & Classic Car Show,Yes,28/04/2019,28/04/2019,Tynte Street,"The event will consist of some 100 veterans, vintage and early classic vehicles being on display in Tynte Street. There will also be some live entertainment, trading stalls, and children activities on the day. ",Yes,"https://www.google.com/maps/@-34.9061873,138.5950209,21z",TBA,12p.m to 6p.m,Not applicable ,,Not applicable ,Not applicable ,,,,,,
