Asset_Category,Asset_Class,Asset_Subclass,Asset_Type,Asset_Subtype
Artworks,Urban Elements,Arts and Culture,Artwork,Large Memorial
Artworks,Urban Elements,Arts and Culture,Artwork,Public Arts
Artworks,Urban Elements,Arts and Culture,Artwork,Small Memorial
Basins,Water Infrastructure,Stormwater Network Structure,Basin,Bio-retention
Basins,Water Infrastructure,Stormwater Network Structure,Basin,Detention
Basins,Water Infrastructure,Stormwater Network Structure,Basin,Sedimentation
Bins,Urban Elements,Waste,Bin,Bin Stand
Bins,Urban Elements,Waste,Bin,Butt-Out
Bins,Urban Elements,Waste,Bin,Dog Dispenser
Bins,Urban Elements,Waste,Bin,Enclosure
Bins,Urban Elements,Waste,Bin,Recycle Bin
Bins,Urban Elements,Waste,Bin,Solar Bin
Bins,Urban Elements,Waste,Bin,Standard Litter Bin
Bridges,Transportation,Bridge,Bridge,Culvert Footbridge
Bridges,Transportation,Bridge,Bridge,Major Footbridge
Bridges,Transportation,Bridge,Bridge,Minor Footbridge
Bridges,Transportation,Bridge,Bridge,Road Bridge
Buildings,Building,Commercial,Building,Central Market Precinct
Buildings,Building,Commercial,Building,Commercial Buildings
Buildings,Building,Commercial,Building,Defibrillator
Buildings,Building,Commercial,Building,Investment Properties
Buildings,Building,Commercial,Building,Upark Buildings
Buildings,Building,Commercial,Building Tenancy,Building Tenancy
Buildings,Building,Community,Building,Community - Libraries and Community Halls
Buildings,Building,Community,Building,Community - Park Lands Businesses
Buildings,Building,Community,Building,Community - Park Lands Sports Clubs and Grandstands
Buildings,Building,Community,Building,Defibrillator
Buildings,Building,Corporate,Building,Community - Park Lands Businesses
Buildings,Building,Corporate,Building,Corporation
Buildings,Building,Corporate,Building,Defibrillator
Buildings,Building,Corporate,Building,Town Hall Complex
Buildings,Building,Facility,Building,Facility
Buildings,Building,Facility,Building,Public Conveniences
Buildings,Building,Leased Building,Building,Leased Building
Culverts,Water Infrastructure,Stormwater Network Structure,Culvert,Box
Culverts,Water Infrastructure,Stormwater Network Structure,Culvert,Pipe
Culverts,Water Infrastructure,Stormwater Network Structure,Culvert,U-Shape
Electrical,Urban Elements,On-street Parking,Smart Parking,SmartSpot
Electrical Conduit Pits,Lighting and Electrical,Distribution,Lighting Pit,Fuse Pit
Electrical Conduit Pits,Lighting and Electrical,Distribution,Lighting Pit,Fuse Pit - TBC
Electrical Conduit Pits,Lighting and Electrical,Distribution,Lighting Pit,Join Pit
Electrical Conduit Pits,Lighting and Electrical,Distribution,Lighting Pit,Pull Through Pit
Electrical Conduit Pits,Lighting and Electrical,Distribution,Pit,Fuse Pit
Electrical Conduit Pits,Lighting and Electrical,Distribution,Pit,Pull Through
Electrical Conduit Pits,Transportation,Traffic Signals,Pit,
Electrical Conduit Pits,Transportation,Traffic Signals,Pit,Join Pit
Electrical Conduit Pits,Transportation,Traffic Signals,Pit,Loop Pit
Electrical Conduit Pits,Transportation,Traffic Signals,Pit,Pull Through
Electrical Conduit Pits,Transportation,Traffic Signals,SCATS Infrastructure - Pit,Join Pit
Electrical Conduit Pits,Transportation,Traffic Signals,SCATS Infrastructure - Pit,Town Hall 1800x1800 Pit
Electrical Conduit Pits,Transportation,Traffic Signals,Traffic Signal Pit,D Pit
Electrical Conduit Pits,Transportation,Traffic Signals,Traffic Signal Pit,Double D Pit
Electrical Conduit Pits,Transportation,Traffic Signals,Traffic Signal Pit,Double Gatic
Electrical Conduit Pits,Transportation,Traffic Signals,Traffic Signal Pit,P1
Electrical Conduit Pits,Transportation,Traffic Signals,Traffic Signal Pit,P2
Electrical Conduit Pits,Transportation,Traffic Signals,Traffic Signal Pit,P3
Electrical Conduit Pits,Transportation,Traffic Signals,Traffic Signal Pit,P4
Electrical Conduit Pits,Transportation,Traffic Signals,Traffic Signal Pit,P5
Electrical Conduit Pits,Transportation,Traffic Signals,Traffic Signal Pit,P6
Electrical Conduit Pits,Transportation,Traffic Signals,Traffic Signal Pit,P7
Electrical Conduit Pits,Transportation,Traffic Signals,Traffic Signal Pit,P8
Electrical Conduit Pits,Transportation,Traffic Signals,Traffic Signal Pit,S Pit
Electrical Conduit Pits,Transportation,Traffic Signals,Traffic Signal Pit,Single Gatic
Electrical Conduit Pits,Transportation,Traffic Signals,Traffic Signal Pit,Telstra Style Steel Pit
Electrical Conduit Pits,Transportation,Traffic Signals,Traffic Signal Pit,Tram Site Loop Pit
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Cable,100
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Cable,3
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Cable,63
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Cable,Unknown
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Conduit,100
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Conduit,150
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Conduit,2 x 100
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Conduit,2 x 40
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Conduit,2 x 50
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Conduit,2 x 63
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Conduit,2 x 80
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Conduit,25
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Conduit,3 x 80
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Conduit,32
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Conduit,4 x 80
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Conduit,40
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Conduit,5 x 80
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Conduit,50
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Conduit,63
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Conduit,65
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Conduit,75
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Conduit,80
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Conduit,Aboveground ETSA Service Point
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Conduit,Comms - White
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Conduit,Comms - White Spare
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Conduit,Consumer Main
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Conduit,Electrical - Orange
