Valuation Record Id,Asset Id,Component Name,Valuation Component Type,Valuation Date,Valuation Record Type,Date Built,Valuation Pattern,Valuation Pattern Index,Depreciation Method,Depreciation Calculation Method,Replacement Cost,Useful Life,Remaining Useful Life,Unit Rate,Depreciation Rate,Depreciation Effective Date,Depreciated Replacement Cost,Residual Cost (%),Is End Of Day,Project Code,Description,Comments
,294900,Cables - 29 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,44.84,20,,89.67,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294930,Detector Loop,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,44.84,20,,89.67,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294919,Cables - 63 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,84.52,20,,169.04,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294920,Cables - 63 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,84.52,20,,169.04,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294918,Cables - 63 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,84.52,20,,169.04,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294904,Cables - 29 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,89.66,20,,89.66,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294927,Cables - 29 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,89.66,20,,89.66,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294897,Detector Loop,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,268.99,20,,89.66,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294906,Detector Loop,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,268.99,20,,89.66,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294928,Cables - 29 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,268.99,20,,89.66,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294932,Cables - 29 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,268.99,20,,89.66,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294933,Cables - 29 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,268.99,20,,89.66,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294907,Cables - 29 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,358.66,20,,89.67,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294908,Cables - 29 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,358.66,20,,89.67,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294925,Detector Loop,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,448.32,20,,89.66,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294921,Cables - 63 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,507.12,20,,169.04,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294901,Cables - 6 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,537.99,20,,89.67,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294905,Cables - 6 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,537.99,20,,89.67,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294902,Cables - 6 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,537.99,20,,89.67,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294931,Cables - 6 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,537.99,20,,89.67,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294926,Cables - 29 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,627.65,20,,89.66,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294917,Cables - 63 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,676.16,20,,169.04,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294911,Cables - 6 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,806.98,20,,89.66,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294913,Cables - 6 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,806.98,20,,89.66,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294914,Cables - 6 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,806.98,20,,89.66,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294901,Cables - 63 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,1014.24,20,,169.04,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294905,Cables - 63 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,1014.24,20,,169.04,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294902,Cables - 63 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,1014.24,20,,169.04,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294931,Cables - 63 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,1014.24,20,,169.04,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294886,Pit Main,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,1365.55,40,,1365.55,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294894,Pit Main,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,1365.55,40,,1365.55,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294898,Pit Main,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,1365.55,40,,1365.55,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294922,Cables - 6 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,1434.64,20,,89.67,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294924,Cables - 6 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,1434.64,20,,89.67,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294923,Cables - 6 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,1434.64,20,,89.67,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
